Hour,Minute,Second,Microsecond,IR1,
11,10,8,653375,28376,8.65
11,10,8,665139,28380,8.67
11,10,8,673376,28375,8.67
11,10,8,686366,28383,8.69
11,10,8,694366,28376,8.69
11,10,8,706363,28375,8.71
11,10,8,718118,28375,8.72
11,10,8,727356,28376,8.73
11,10,8,739296,28369,8.74
11,10,8,747284,28376,8.75
11,10,8,759356,28375,8.76
11,10,8,767381,28371,8.77
11,10,8,780367,28365,8.78
11,10,8,792084,28378,8.79
11,10,8,800392,28363,8.80
11,10,8,813202,28406,8.81
11,10,8,821275,28689,8.82
11,10,8,833173,29819,8.83
11,10,8,842189,30442,8.84
11,10,8,853380,30456,8.85
11,10,8,866110,30242,8.87
11,10,8,874227,29863,8.87
11,10,8,886226,29531,8.89
11,10,8,894333,29221,8.89
11,10,8,907384,28972,8.91
11,10,8,915368,28875,8.92
11,10,8,927422,28779,8.93
11,10,8,939084,28710,8.94
11,10,8,948365,28636,8.95
11,10,8,960285,28587,8.96
11,10,8,968228,28545,8.97
11,10,8,980270,28506,8.98
11,10,8,989315,28487,8.99
11,10,9,1369,28466,9.00
11,10,9,13059,28454,9.01
11,10,9,21368,28462,9.02
11,10,9,34289,28452,9.03
11,10,9,42344,28444,9.04
11,10,9,54294,28441,9.05
11,10,9,62215,28435,9.06
11,10,9,75360,28436,9.08
11,10,9,87297,28432,9.09
11,10,9,95312,28430,9.10
11,10,9,107179,28419,9.11
11,10,9,116341,28412,9.12
11,10,9,128364,28403,9.13
11,10,9,136362,28429,9.14
11,10,9,148277,28403,9.15
11,10,9,161114,28401,9.16
11,10,9,169373,28406,9.17
11,10,9,181361,28418,9.18
11,10,9,189360,28478,9.19
11,10,9,202286,28497,9.20
11,10,9,210217,28473,9.21
11,10,9,222167,28471,9.22
11,10,9,234212,28469,9.23
11,10,9,243164,28470,9.24
11,10,9,255195,28472,9.26
11,10,9,263181,28464,9.26
11,10,9,275381,28461,9.28
11,10,9,284385,28467,9.28
11,10,9,296339,28454,9.30
11,10,9,308205,28455,9.31
11,10,9,316241,28450,9.32
11,10,9,329150,28437,9.33
11,10,9,337348,28442,9.34
11,10,9,349262,28460,9.35
11,10,9,357280,28451,9.36
11,10,9,370359,28440,9.37
11,10,9,382140,28459,9.38
11,10,9,390159,28445,9.39
11,10,9,402348,28451,9.40
11,10,9,411249,28438,9.41
11,10,9,423240,28431,9.42
11,10,9,431150,28434,9.43
11,10,9,443359,28425,9.44
11,10,9,456094,28420,9.46
11,10,9,464367,28434,9.46
11,10,9,476133,28447,9.48
11,10,9,484362,28434,9.48
11,10,9,497245,28438,9.50
11,10,9,505475,28423,9.51
11,10,9,517315,28443,9.52
11,10,9,529103,28436,9.53
11,10,9,537302,28437,9.54
11,10,9,550477,28440,9.55
11,10,9,558196,28434,9.56
11,10,9,570342,28435,9.57
11,10,9,578225,28427,9.58
11,10,9,591346,28441,9.59
11,10,9,603627,28437,9.60
11,10,9,611222,28423,9.61
11,10,9,623253,28424,9.62
11,10,9,632311,28428,9.63
11,10,9,644266,28419,9.64
11,10,9,652312,28428,9.65
11,10,9,664236,28419,9.66
11,10,9,677235,28433,9.68
11,10,9,685305,28426,9.69
11,10,9,697259,28417,9.70
11,10,9,705312,28429,9.71
11,10,9,718339,28428,9.72
11,10,9,726340,28425,9.73
11,10,9,738340,28416,9.74
11,10,9,750185,28408,9.75
11,10,9,759334,28426,9.76
11,10,9,771063,28415,9.77
11,10,9,779094,28420,9.78
11,10,9,791131,28410,9.79
11,10,9,800213,28403,9.80
11,10,9,812651,28412,9.81
11,10,9,824168,28401,9.82
11,10,9,832227,28410,9.83
11,10,9,845105,28418,9.85
11,10,9,853170,28416,9.85
11,10,9,865207,28411,9.87
11,10,9,873140,28426,9.87
11,10,9,886308,28428,9.89
11,10,9,898182,28438,9.90
11,10,9,906300,28420,9.91
11,10,9,918098,28412,9.92
11,10,9,927302,28424,9.93
11,10,9,939236,28405,9.94
11,10,9,947339,28415,9.95
11,10,9,959336,28419,9.96
11,10,9,972228,28416,9.97
11,10,9,980312,28412,9.98
11,10,9,992179,28416,9.99
11,10,10,248,28400,10.00
11,10,10,13242,28400,10.01
11,10,10,21337,28410,10.02
11,10,10,33340,28413,10.03
11,10,10,45172,28417,10.05
11,10,10,54247,28412,10.05
11,10,10,66083,28411,10.07
11,10,10,74261,28405,10.07
11,10,10,86355,28389,10.09
11,10,10,95560,28388,10.10
11,10,10,107232,28392,10.11
11,10,10,119156,28392,10.12
11,10,10,127136,28391,10.13
11,10,10,140193,28388,10.14
11,10,10,148233,28390,10.15
11,10,10,160339,28378,10.16
11,10,10,168594,28483,10.17
11,10,10,181242,28542,10.18
11,10,10,193193,29796,10.19
11,10,10,201409,30291,10.20
11,10,10,213279,30520,10.21
11,10,10,222261,30473,10.22
11,10,10,234497,30277,10.23
11,10,10,242206,29862,10.24
11,10,10,254150,29431,10.25
11,10,10,267209,29101,10.27
11,10,10,275104,28920,10.28
11,10,10,287278,28805,10.29
11,10,10,295340,28720,10.30
11,10,10,308309,28643,10.31
11,10,10,316319,28608,10.32
11,10,10,328265,28570,10.33
11,10,10,340151,28536,10.34
11,10,10,348389,28502,10.35
11,10,10,361257,28476,10.36
11,10,10,369243,28452,10.37
11,10,10,381266,28442,10.38
11,10,10,389195,28428,10.39
11,10,10,402281,28408,10.40
11,10,10,414118,28408,10.41
11,10,10,422462,28399,10.42
11,10,10,434259,28392,10.43
11,10,10,443293,28388,10.44
11,10,10,455304,28373,10.46
11,10,10,463333,28362,10.46
11,10,10,475419,28363,10.48
11,10,10,488144,28362,10.49
11,10,10,496157,28363,10.50
11,10,10,508102,28352,10.51
11,10,10,516198,28365,10.52
11,10,10,529189,28396,10.53
11,10,10,537531,28401,10.54
11,10,10,549223,28381,10.55
11,10,10,561152,28372,10.56
11,10,10,570337,28373,10.57
11,10,10,582172,28371,10.58
11,10,10,590337,28356,10.59
