Hour,Minute,Second,Microsecond,IR1,
11,41,37,790302,38590,37.790
11,41,37,798240,38593,37.798
11,41,37,810336,38587,37.810
11,41,37,823347,38583,37.823
11,41,37,831202,38593,37.831
11,41,37,843309,38592,37.843
11,41,37,851280,38603,37.851
11,41,37,864450,38587,37.864
11,41,37,872246,38612,37.872
11,41,37,884290,38606,37.884
11,41,37,896205,38581,37.896
11,41,37,905323,38595,37.905
11,41,37,917301,38593,37.917
11,41,37,925340,38597,37.925
11,41,37,937434,38594,37.937
11,41,37,946486,38595,37.946
11,41,37,958399,38592,37.958
11,41,37,970337,38576,37.970
11,41,37,978261,38589,37.978
11,41,37,991291,38584,37.991
11,41,37,999227,38586,37.999
11,41,38,11276,38590,38.011
11,41,38,19420,38576,38.019
11,41,38,32433,38587,38.032
11,41,38,44259,38592,38.044
11,41,38,52450,38593,38.052
11,41,38,64436,38602,38.064
11,41,38,73170,38602,38.073
11,41,38,85292,38614,38.085
11,41,38,93230,38608,38.093
11,41,38,105412,38621,38.105
11,41,38,118351,38618,38.118
11,41,38,126265,38624,38.126
11,41,38,138471,38636,38.138
11,41,38,146280,38630,38.146
11,41,38,159587,38642,38.160
11,41,38,167422,38641,38.167
11,41,38,179254,38646,38.179
11,41,38,191332,38631,38.191
11,41,38,200200,38634,38.200
11,41,38,212432,38635,38.212
11,41,38,220203,38628,38.220
11,41,38,232247,38636,38.232
11,41,38,240200,38633,38.240
11,41,38,253231,38617,38.253
11,41,38,265501,38629,38.266
11,41,38,273278,38611,38.273
11,41,38,286221,38623,38.286
11,41,38,294182,38605,38.294
11,41,38,306251,38619,38.306
11,41,38,314214,38629,38.314
11,41,38,326418,38608,38.326
11,41,38,339343,38622,38.339
11,41,38,347530,38604,38.348
11,41,38,359286,38614,38.359
11,41,38,367446,38610,38.367
11,41,38,380779,38600,38.381
11,41,38,388273,38603,38.388
11,41,38,400356,38587,38.400
11,41,38,413233,38703,38.413
11,41,38,421438,38783,38.421
11,41,38,433332,38819,38.433
11,41,38,441277,38967,38.441
11,41,38,454296,39029,38.454
11,41,38,462266,39214,38.462
11,41,38,474419,39267,38.474
11,41,38,486160,39378,38.486
11,41,38,494220,39468,38.494
11,41,38,507293,39495,38.507
11,41,38,515273,39520,38.515
11,41,38,527419,39549,38.527
11,41,38,535410,39559,38.535
11,41,38,548412,39571,38.548
11,41,38,560164,39575,38.560
11,41,38,568249,39594,38.568
11,41,38,580414,39599,38.580
11,41,38,589214,39598,38.589
11,41,38,601197,39598,38.601
11,41,38,613233,39601,38.613
11,41,38,621282,39601,38.621
11,41,38,634315,39607,38.634
11,41,38,642247,39612,38.642
11,41,38,654549,39617,38.655
11,41,38,662261,39612,38.662
11,41,38,675183,39612,38.675
11,41,38,687172,39623,38.687
11,41,38,695332,39639,38.695
11,41,38,707220,39639,38.707
11,41,38,716170,39631,38.716
11,41,38,728279,39623,38.728
11,41,38,736412,39624,38.736
11,41,38,748262,39608,38.748
11,41,38,761092,39608,38.761
11,41,38,769408,39524,38.769
11,41,38,781321,39331,38.781
11,41,38,789350,39126,38.789
11,41,38,802339,38951,38.802
11,41,38,810326,38800,38.810
11,41,38,822331,38682,38.822
11,41,38,834064,38613,38.834
11,41,38,843196,38577,38.843
11,41,38,855318,38596,38.855
11,41,38,863264,38620,38.863
11,41,38,875403,38636,38.875
11,41,38,884253,38644,38.884
11,41,38,896256,38651,38.896
11,41,38,908157,38667,38.908
11,41,38,916305,38677,38.916
11,41,38,929295,38673,38.929
11,41,38,937318,38676,38.937
11,41,38,949182,38690,38.949
11,41,38,957192,38694,38.957
11,41,38,970279,38696,38.970
11,41,38,982196,38702,38.982
11,41,38,990149,38705,38.990
11,41,39,2176,38707,39.002
11,41,39,11288,38706,39.011
11,41,39,23305,38710,39.023
11,41,39,31402,38704,39.031
11,41,39,43213,38708,39.043
11,41,39,56161,38712,39.056
11,41,39,64244,38705,39.064
11,41,39,76316,38699,39.076
11,41,39,84219,38696,39.084
11,41,39,97258,38701,39.097
11,41,39,105228,38698,39.105
11,41,39,117337,38689,39.117
11,41,39,129102,38686,39.129
11,41,39,137380,38687,39.137
11,41,39,150156,38684,39.150
11,41,39,158196,38680,39.158
11,41,39,170411,38681,39.170
11,41,39,178257,38680,39.178
11,41,39,191196,38675,39.191
11,41,39,203202,38678,39.203
11,41,39,211266,38678,39.211
11,41,39,223322,38673,39.223
11,41,39,232403,38682,39.232
11,41,39,244245,38678,39.244
11,41,39,252184,38680,39.252
11,41,39,264258,38678,39.264
11,41,39,277210,38681,39.277
11,41,39,285241,38686,39.285
11,41,39,297108,38675,39.297
11,41,39,305279,38675,39.305
11,41,39,318298,38681,39.318
11,41,39,326418,38691,39.326
11,41,39,338409,38682,39.338
11,41,39,350084,38672,39.350
11,41,39,359247,38671,39.359
11,41,39,371206,38682,39.371
11,41,39,379414,38684,39.379
11,41,39,391486,38672,39.391
11,41,39,400405,38668,39.400
11,41,39,412278,38665,39.412
11,41,39,424192,38657,39.424
11,41,39,432234,38659,39.432
11,41,39,445082,38662,39.445
11,41,39,453509,38652,39.454
11,41,39,465185,38667,39.465
11,41,39,473173,38672,39.473
11,41,39,486293,38667,39.486
11,41,39,498012,38662,39.498
11,41,39,506200,38666,39.506
11,41,39,518172,38653,39.518
11,41,39,527202,38654,39.527
11,41,39,539404,38635,39.539
11,41,39,547219,38598,39.547
11,41,39,559190,38575,39.559
11,41,39,572210,38605,39.572
11,41,39,580161,38676,39.580
11,41,39,592365,38778,39.592
11,41,39,600195,38911,39.600
11,41,39,613186,38991,39.613
11,41,39,621287,39169,39.621
11,41,39,633256,39185,39.633
11,41,39,645189,39256,39.645
11,41,39,654155,39275,39.654
11,41,39,666131,39293,39.666
11,41,39,674754,39291,39.675
11,41,39,686184,39321,39.686
11,41,39,695272,39329,39.695
11,41,39,707209,39347,39.707
11,41,39,719113,39366,39.719
11,41,39,727188,39368,39.727
11,41,39,740301,39382,39.740
11,41,39,748202,39373,39.748
11,41,39,760394,39391,39.760
11,41,39,768292,39384,39.768
11,41,39,781273,39389,39.781
11,41,39,793142,39382,39.793
11,41,39,801168,39371,39.801
11,41,39,813232,39398,39.813
11,41,39,821434,39401,39.821
11,41,39,834179,39373,39.834
11,41,39,842184,39379,39.842
11,41,39,854363,39380,39.854
11,41,39,866186,39364,39.866
11,41,39,875205,39369,39.875
11,41,39,887327,39372,39.887
11,41,39,895207,39351,39.895
11,41,39,907201,39352,39.907
11,41,39,916170,39356,39.916
11,41,39,928298,39354,39.928
11,41,39,940115,39347,39.940
11,41,39,948300,39333,39.948
11,41,39,961169,39356,39.961
11,41,39,969178,39332,39.969
11,41,39,982121,39335,39.982
11,41,39,989327,39331,39.989
11,41,40,2295,39323,40.002
11,41,40,14211,39322,40.014
11,41,40,22265,39323,40.022
11,41,40,34224,39341,40.034
11,41,40,43396,39334,40.043
11,41,40,55385,39306,40.055
11,41,40,63224,39303,40.063
11,41,40,75382,39298,40.075
11,41,40,88488,39241,40.088
11,41,40,96209,39132,40.096
11,41,40,108098,38994,40.108
11,41,40,116206,38851,40.116
11,41,40,129278,38740,40.129
11,41,40,137285,38639,40.137
11,41,40,149393,38545,40.149
11,41,40,161111,38476,40.161
11,41,40,170402,38430,40.170
11,41,40,182311,38506,40.182
11,41,40,190250,38548,40.190
11,41,40,202222,38542,40.202
11,41,40,211251,38545,40.211
11,41,40,223397,38552,40.223
11,41,40,235231,38564,40.235
11,41,40,243264,38564,40.243
11,41,40,256325,38567,40.256
11,41,40,264235,38567,40.264
11,41,40,276273,38573,40.276
11,41,40,284174,38567,40.284
11,41,40,297547,38556,40.298
11,41,40,309021,38555,40.309
11,41,40,317228,38556,40.317
11,41,40,329292,38561,40.329
11,41,40,338585,38565,40.339
11,41,40,350393,38569,40.350
11,41,40,358388,38569,40.358
11,41,40,370236,38563,40.370
11,41,40,383184,38565,40.383
11,41,40,391239,38574,40.391
11,41,40,403383,38576,40.403
11,41,40,411158,38576,40.411
11,41,40,424399,38578,40.424
11,41,40,432211,38569,40.432
11,41,40,444246,38575,40.444
11,41,40,456169,38575,40.456
11,41,40,465180,38568,40.465
11,41,40,477101,38562,40.477
11,41,40,485146,38575,40.485
11,41,40,497220,38572,40.497
11,41,40,505209,38582,40.505
11,41,40,518235,38593,40.518
11,41,40,530162,38583,40.530
11,41,40,538338,38574,40.538
11,41,40,551270,38587,40.551
11,41,40,559153,38587,40.559
11,41,40,571405,38581,40.571
11,41,40,579178,38589,40.579
11,41,40,591351,38597,40.591
11,41,40,604004,38600,40.604
11,41,40,612222,38598,40.612
11,41,40,624085,38641,40.624
11,41,40,632223,38732,40.632
11,41,40,645560,38842,40.646
11,41,40,653211,38956,40.653
11,41,40,665236,39068,40.665
11,41,40,677150,39202,40.677
11,41,40,686147,39335,40.686
11,41,40,698104,39442,40.698
11,41,40,706596,39511,40.707
11,41,40,719396,39544,40.719
11,41,40,727163,39568,40.727
11,41,40,739221,39582,40.739
11,41,40,751191,39585,40.751
11,41,40,759181,39589,40.759
11,41,40,772164,39591,40.772
11,41,40,780152,39585,40.780
11,41,40,792234,39589,40.792
11,41,40,800357,39590,40.800
11,41,40,813201,39585,40.813
11,41,40,825027,39584,40.825
11,41,40,833217,39583,40.833
11,41,40,845275,39588,40.845
11,41,40,854336,39589,40.854
11,41,40,866359,39580,40.866
11,41,40,874211,39578,40.874
11,41,40,886370,39577,40.886
11,41,40,899240,39568,40.899
