Hour,Minute,Second,Microsecond,IR1,4 blinks
17,56,12,978657,39193,13.0
17,56,12,986559,39175,13.0
17,56,12,999739,39205,13.0
17,56,13,7681,39187,13.0
17,56,13,19610,39183,13.0
17,56,13,31529,39192,13.0
17,56,13,39711,39187,13.0
17,56,13,52652,39181,13.1
17,56,13,60667,39178,13.1
17,56,13,72734,39184,13.1
17,56,13,80595,39204,13.1
17,56,13,93616,39221,13.1
17,56,13,105572,39231,13.1
17,56,13,113579,39264,13.1
17,56,13,126557,39313,13.1
17,56,13,134565,39337,13.1
17,56,13,146645,39226,13.1
17,56,13,154717,38856,13.2
17,56,13,166627,38289,13.2
17,56,13,179562,37778,13.2
17,56,13,187551,37345,13.2
17,56,13,199624,37027,13.2
17,56,13,207552,37010,13.2
17,56,13,220549,37140,13.2
17,56,13,228580,37255,13.2
17,56,13,240725,37348,13.2
17,56,13,252571,37423,13.3
17,56,13,261556,37503,13.3
17,56,13,273666,37578,13.3
17,56,13,281501,37656,13.3
17,56,13,293534,37743,13.3
17,56,13,302727,37818,13.3
17,56,13,314583,37893,13.3
17,56,13,326346,37955,13.3
17,56,13,334546,37996,13.3
17,56,13,347653,38053,13.3
17,56,13,355571,38070,13.4
17,56,13,367765,37970,13.4
17,56,13,375717,37658,13.4
17,56,13,388558,37048,13.4
17,56,13,400562,36083,13.4
17,56,13,408533,35023,13.4
17,56,13,420540,34469,13.4
17,56,13,429615,34385,13.4
17,56,13,441726,34453,13.4
17,56,13,449716,34552,13.4
17,56,13,461561,34749,13.5
17,56,13,474579,35082,13.5
17,56,13,482556,35310,13.5
17,56,13,494675,35588,13.5
17,56,13,502718,35850,13.5
17,56,13,515844,36007,13.5
17,56,13,523579,36189,13.5
17,56,13,535642,36371,13.5
17,56,13,547580,36540,13.5
17,56,13,556564,36656,13.6
17,56,13,568992,36727,13.6
17,56,13,576583,36781,13.6
17,56,13,588731,36838,13.6
17,56,13,597585,36890,13.6
17,56,13,609722,36929,13.6
17,56,13,621464,36966,13.6
17,56,13,629543,36998,13.6
17,56,13,642645,37023,13.6
17,56,13,650503,37055,13.7
17,56,13,662738,37094,13.7
17,56,13,670559,37120,13.7
17,56,13,683782,37144,13.7
17,56,13,695531,37178,13.7
17,56,13,703613,37204,13.7
17,56,13,715559,37223,13.7
17,56,13,724545,37247,13.7
17,56,13,736741,37268,13.7
17,56,13,744537,37279,13.7
17,56,13,756609,37287,13.8
17,56,13,769584,37306,13.8
17,56,13,777571,37321,13.8
17,56,13,789501,37338,13.8
17,56,13,797699,37351,13.8
17,56,13,810710,37351,13.8
17,56,13,818533,37359,13.8
17,56,13,830478,37365,13.8
17,56,13,842568,37362,13.8
17,56,13,850546,37361,13.9
17,56,13,863648,37364,13.9
17,56,13,871522,37373,13.9
17,56,13,883582,37375,13.9
17,56,13,891737,37372,13.9
17,56,13,904546,37373,13.9
17,56,13,916576,37369,13.9
17,56,13,924650,37367,13.9
17,56,13,936656,37347,13.9
17,56,13,945689,37333,13.9
17,56,13,957542,37354,14.0
17,56,13,965485,37365,14.0
17,56,13,977538,37377,14.0
17,56,13,990575,37376,14.0
17,56,13,998551,37384,14.0
17,56,14,10538,37278,14.0
17,56,14,18564,36824,14.0
17,56,14,31600,36068,14.0
17,56,14,39491,35458,14.0
17,56,14,51467,35224,14.1
17,56,14,63369,35270,14.1
17,56,14,72485,35302,14.1
17,56,14,84493,35311,14.1
17,56,14,92460,35323,14.1
17,56,14,104479,35362,14.1
17,56,14,113501,35396,14.1
17,56,14,125715,35423,14.1
17,56,14,137513,35451,14.1
17,56,14,145559,35461,14.1
17,56,14,158699,35488,14.2
17,56,14,166697,35514,14.2
17,56,14,178539,35543,14.2
17,56,14,186708,35565,14.2
17,56,14,199699,35590,14.2
17,56,14,211586,35616,14.2
17,56,14,219695,35640,14.2
17,56,14,231619,35670,14.2
17,56,14,240697,35693,14.2
17,56,14,252698,35712,14.3
17,56,14,260693,35712,14.3
17,56,14,272608,35724,14.3
17,56,14,285425,35730,14.3
17,56,14,293553,35736,14.3
17,56,14,305539,35709,14.3
17,56,14,313490,35588,14.3
17,56,14,326710,35460,14.3
17,56,14,334536,35288,14.3
17,56,14,346460,35286,14.3
17,56,14,358611,35229,14.4
17,56,14,367686,35217,14.4
17,56,14,379623,35211,14.4
17,56,14,387578,35222,14.4
17,56,14,399710,35239,14.4
17,56,14,408521,35253,14.4
17,56,14,420703,35260,14.4
17,56,14,432615,35255,14.4
17,56,14,440558,35261,14.4
17,56,14,453707,35279,14.5
17,56,14,461551,35262,14.5
17,56,14,473697,35255,14.5
17,56,14,481593,35247,14.5
17,56,14,494582,35257,14.5
17,56,14,506613,35262,14.5
17,56,14,514697,35275,14.5
17,56,14,526706,35278,14.5
17,56,14,535756,35282,14.5
17,56,14,547943,35308,14.5
17,56,14,555538,35308,14.6
17,56,14,567696,35318,14.6
17,56,14,580613,35304,14.6
17,56,14,588540,35317,14.6
17,56,14,600733,35316,14.6
17,56,14,608518,35324,14.6
17,56,14,621649,35322,14.6
17,56,14,629493,35307,14.6
17,56,14,641620,35324,14.6
17,56,14,653613,35312,14.7
17,56,14,661555,35299,14.7
17,56,14,674716,35293,14.7
17,56,14,682545,35280,14.7
17,56,14,694540,35256,14.7
17,56,14,702524,35215,14.7
17,56,14,715699,34961,14.7
17,56,14,727563,34332,14.7
17,56,14,735537,33747,14.7
17,56,14,747535,33464,14.7
17,56,14,756684,33370,14.8
17,56,14,768682,33362,14.8
17,56,14,780483,33346,14.8
17,56,14,788507,33339,14.8
17,56,14,801445,33324,14.8
17,56,14,809683,33327,14.8
17,56,14,821518,33326,14.8
17,56,14,829691,33318,14.8
17,56,14,842599,33316,14.8
17,56,14,854374,33330,14.9
17,56,14,862394,33306,14.9
17,56,14,874591,33295,14.9
17,56,14,883494,33278,14.9
17,56,14,895594,33391,14.9
17,56,14,903578,33851,14.9
17,56,14,915583,34278,14.9
17,56,14,928442,34761,14.9
17,56,14,936531,35202,14.9
17,56,14,948483,35619,14.9
17,56,14,956678,35914,15.0
17,56,14,969709,36355,15.0
17,56,14,977516,36339,15.0
17,56,14,989678,36418,15.0
17,56,15,1674,36392,15.0
17,56,15,10521,36433,15.0
17,56,15,22507,36452,15.0
17,56,15,30539,36446,15.0
17,56,15,42687,36452,15.0
17,56,15,51527,36467,15.1
17,56,15,63694,36486,15.1
17,56,15,75387,36480,15.1
17,56,15,83500,36471,15.1
17,56,15,96649,36464,15.1
17,56,15,104694,36460,15.1
17,56,15,116684,36460,15.1
17,56,15,124525,36454,15.1
17,56,15,137495,36455,15.1
17,56,15,149440,36469,15.1
17,56,15,157580,36465,15.2
17,56,15,169558,36467,15.2
17,56,15,178489,36485,15.2
17,56,15,190687,36473,15.2
17,56,15,198461,36476,15.2
17,56,15,210543,36480,15.2
17,56,15,223481,36479,15.2
17,56,15,231446,36470,15.2
17,56,15,243576,36445,15.2
17,56,15,251534,36559,15.3
17,56,15,264684,36282,15.3
17,56,15,272672,36041,15.3
17,56,15,284456,35960,15.3
17,56,15,296492,35889,15.3
17,56,15,305548,35818,15.3
17,56,15,317427,35793,15.3
17,56,15,325689,35752,15.3
17,56,15,337677,35778,15.3
17,56,15,345503,35852,15.3
17,56,15,358598,35906,15.4
17,56,15,370359,35947,15.4
17,56,15,378490,35969,15.4
17,56,15,391571,35993,15.4
17,56,15,399669,36006,15.4
17,56,15,411534,36014,15.4
17,56,15,419531,36033,15.4
17,56,15,431673,36036,15.4
17,56,15,444485,36003,15.4
17,56,15,452678,35953,15.5
17,56,15,464531,35901,15.5
17,56,15,472676,35819,15.5
17,56,15,485523,35676,15.5
17,56,15,493672,35470,15.5
17,56,15,505598,35225,15.5
17,56,15,517475,35022,15.5
17,56,15,526540,34981,15.5
17,56,15,538489,35009,15.5
17,56,15,546450,35046,15.5
17,56,15,558566,35152,15.6
17,56,15,567688,35270,15.6
17,56,15,579580,35427,15.6
17,56,15,591489,35643,15.6
17,56,15,599502,35824,15.6
17,56,15,612426,35933,15.6
17,56,15,620484,36029,15.6
17,56,15,632566,36125,15.6
17,56,15,640475,36211,15.6
17,56,15,653681,36302,15.7
17,56,15,665488,36387,15.7
17,56,15,673696,36450,15.7
17,56,15,685587,36496,15.7
17,56,15,694503,36537,15.7
17,56,15,706680,36575,15.7
17,56,15,714529,36605,15.7
17,56,15,726681,36618,15.7
17,56,15,739424,36624,15.7
17,56,15,747659,36620,15.7
17,56,15,759593,36612,15.8
17,56,15,767528,36611,15.8
17,56,15,780656,36613,15.8
