Y:D:M,H:M:S,Seconds,IR1
2015:1:3,10:54:2.213,2.213,36435.0
2015:1:3,10:54:2.221,2.221,36864.0
2015:1:3,10:54:2.233,2.233,37065.0
2015:1:3,10:54:2.246,2.246,37329.0
2015:1:3,10:54:2.254,2.254,37724.0
2015:1:3,10:54:2.266,2.266,37979.0
2015:1:3,10:54:2.274,2.274,38160.0
2015:1:3,10:54:2.287,2.287,38410.0
2015:1:3,10:54:2.295,2.295,38547.0
2015:1:3,10:54:2.307,2.307,38692.0
2015:1:3,10:54:2.319,2.319,38767.0
2015:1:3,10:54:2.328,2.328,38815.0
2015:1:3,10:54:2.34,2.34,38850.0
2015:1:3,10:54:2.348,2.348,38886.0
2015:1:3,10:54:2.406,2.406,38911.0
2015:1:3,10:54:2.411,2.411,38908.0
2015:1:3,10:54:2.417,2.417,38913.0
2015:1:3,10:54:2.423,2.423,38944.0
2015:1:3,10:54:2.428,2.428,38930.0
2015:1:3,10:54:2.434,2.434,38934.0
2015:1:3,10:54:2.44,2.44,38952.0
2015:1:3,10:54:2.445,2.445,38947.0
2015:1:3,10:54:2.451,2.451,38959.0
2015:1:3,10:54:2.457,2.457,38948.0
2015:1:3,10:54:2.467,2.467,38939.0
2015:1:3,10:54:2.475,2.475,38943.0
2015:1:3,10:54:2.487,2.487,38937.0
2015:1:3,10:54:2.496,2.496,38924.0
2015:1:3,10:54:2.514,2.5140000000000002,38935.0
2015:1:3,10:54:2.519,2.519,38961.0
2015:1:3,10:54:2.528,2.528,38960.0
2015:1:3,10:54:2.541,2.541,38961.0
2015:1:3,10:54:2.549,2.549,38939.0
2015:1:3,10:54:2.561,2.561,38933.0
2015:1:3,10:54:2.569,2.569,38956.0
2015:1:3,10:54:2.582,2.582,38958.0
2015:1:3,10:54:2.59,2.59,38965.0
2015:1:3,10:54:2.602,2.602,38960.0
2015:1:3,10:54:2.614,2.614,38969.0
2015:1:3,10:54:2.623,2.623,38973.0
2015:1:3,10:54:2.635,2.635,38979.0
2015:1:3,10:54:2.643,2.643,38965.0
2015:1:3,10:54:2.655,2.655,38932.0
2015:1:3,10:54:2.664,2.6639999999999997,38931.0
2015:1:3,10:54:2.676,2.676,38923.0
2015:1:3,10:54:2.688,2.6879999999999997,38953.0
2015:1:3,10:54:2.696,2.6959999999999997,38973.0
2015:1:3,10:54:2.709,2.709,38972.0
2015:1:3,10:54:2.717,2.717,38979.0
2015:1:3,10:54:2.729,2.729,38953.0
2015:1:3,10:54:2.737,2.737,38900.0
2015:1:3,10:54:2.75,2.75,38606.0
2015:1:3,10:54:2.762,2.762,37952.0
2015:1:3,10:54:2.77,2.77,36772.0
2015:1:3,10:54:2.782,2.782,36101.0
2015:1:3,10:54:2.79,2.79,35243.0
2015:1:3,10:54:2.803,2.803,36080.0
2015:1:3,10:54:2.811,2.811,36713.0
2015:1:3,10:54:2.823,2.823,36824.0
2015:1:3,10:54:2.836,2.836,37168.0
2015:1:3,10:54:2.844,2.844,37531.0
2015:1:3,10:54:2.856,2.856,37839.0
2015:1:3,10:54:2.864,2.864,38073.0
2015:1:3,10:54:2.877,2.877,38269.0
2015:1:3,10:54:2.885,2.885,38470.0
2015:1:3,10:54:2.897,2.897,38572.0
2015:1:3,10:54:2.909,2.909,38643.0
2015:1:3,10:54:2.917,2.917,38707.0
2015:1:3,10:54:2.93,2.9299999999999997,38750.0
2015:1:3,10:54:2.956,2.956,38777.0
2015:1:3,10:54:2.96,2.96,38793.0
2015:1:3,10:54:2.964,2.964,38798.0
2015:1:3,10:54:2.971,2.971,38800.0
2015:1:3,10:54:2.983,2.983,38801.0
2015:1:3,10:54:2.991,2.991,38808.0
2015:1:3,10:54:3.003,3.003,38821.0
2015:1:3,10:54:3.012,3.012,38833.0
2015:1:3,10:54:3.034,3.034,38828.0
2015:1:3,10:54:3.041,3.041,38818.0
2015:1:3,10:54:3.047,3.047,38809.0
2015:1:3,10:54:3.057,3.057,38802.0
2015:1:3,10:54:3.065,3.065,38807.0
2015:1:3,10:54:3.077,3.077,38803.0
2015:1:3,10:54:3.085,3.085,38799.0
2015:1:3,10:54:3.098,3.098,38804.0
2015:1:3,10:54:3.106,3.106,38810.0
2015:1:3,10:54:3.118,3.118,38816.0
2015:1:3,10:54:3.13,3.13,38820.0
2015:1:3,10:54:3.139,3.139,38812.0
2015:1:3,10:54:3.151,3.151,38816.0
2015:1:3,10:54:3.159,3.159,38820.0
2015:1:3,10:54:3.171,3.171,38825.0
2015:1:3,10:54:3.18,3.18,38829.0
2015:1:3,10:54:3.192,3.192,38818.0
2015:1:3,10:54:3.204,3.204,38819.0
2015:1:3,10:54:3.212,3.212,38803.0
2015:1:3,10:54:3.225,3.225,38781.0
2015:1:3,10:54:3.233,3.233,38780.0
2015:1:3,10:54:3.245,3.245,38797.0
2015:1:3,10:54:3.253,3.253,38803.0
2015:1:3,10:54:3.266,3.266,38804.0
2015:1:3,10:54:3.278,3.278,38808.0
2015:1:3,10:54:3.286,3.286,38818.0
2015:1:3,10:54:3.298,3.298,38830.0
2015:1:3,10:54:3.307,3.307,38851.0
2015:1:3,10:54:3.319,3.319,38866.0
2015:1:3,10:54:3.327,3.327,38870.0
2015:1:3,10:54:3.339,3.339,38862.0
2015:1:3,10:54:3.352,3.352,38876.0
2015:1:3,10:54:3.36,3.36,38880.0
2015:1:3,10:54:3.373,3.373,38882.0
2015:1:3,10:54:3.381,3.3810000000000002,38838.0
2015:1:3,10:54:3.394,3.394,38730.0
2015:1:3,10:54:3.402,3.402,38615.0
2015:1:3,10:54:3.414,3.414,38622.0
2015:1:3,10:54:3.426,3.426,38672.0
2015:1:3,10:54:3.435,3.435,38684.0
2015:1:3,10:54:3.447,3.447,38693.0
2015:1:3,10:54:3.455,3.455,38716.0
2015:1:3,10:54:3.467,3.467,38702.0
2015:1:3,10:54:3.475,3.475,38686.0
2015:1:3,10:54:3.488,3.488,38539.0
2015:1:3,10:54:3.5,3.5,38166.0
2015:1:3,10:54:3.523,3.523,37181.0
2015:1:3,10:54:3.529,3.529,36331.0
2015:1:3,10:54:3.535,3.535,35442.0
2015:1:3,10:54:3.545,3.545,35910.0
2015:1:3,10:54:3.552,3.552,36329.0
2015:1:3,10:54:3.561,3.561,36490.0
2015:1:3,10:54:3.574,3.574,36794.0
2015:1:3,10:54:3.582,3.582,37172.0
2015:1:3,10:54:3.594,3.594,37458.0
2015:1:3,10:54:3.602,3.602,37672.0
2015:1:3,10:54:3.615,3.615,37858.0
2015:1:3,10:54:3.623,3.623,37985.0
2015:1:3,10:54:3.635,3.635,38139.0
2015:1:3,10:54:3.647,3.6470000000000002,38248.0
2015:1:3,10:54:3.656,3.6559999999999997,38324.0
2015:1:3,10:54:3.668,3.668,38376.0
2015:1:3,10:54:3.676,3.676,38411.0
2015:1:3,10:54:3.732,3.732,38432.0
2015:1:3,10:54:3.738,3.738,38456.0
2015:1:3,10:54:3.744,3.7439999999999998,38468.0
2015:1:3,10:54:3.75,3.75,38469.0
2015:1:3,10:54:3.756,3.7560000000000002,38472.0
2015:1:3,10:54:3.763,3.763,38482.0
2015:1:3,10:54:3.769,3.769,38492.0
2015:1:3,10:54:3.775,3.775,38489.0
2015:1:3,10:54:3.781,3.7809999999999997,38494.0
2015:1:3,10:54:3.788,3.788,38526.0
2015:1:3,10:54:3.795,3.795,38552.0
2015:1:3,10:54:3.803,3.803,38571.0
2015:1:3,10:54:3.815,3.815,38608.0
2015:1:3,10:54:3.824,3.824,38669.0
2015:1:3,10:54:3.836,3.836,38731.0
2015:1:3,10:54:3.844,3.844,38763.0
2015:1:3,10:54:3.856,3.856,38768.0
2015:1:3,10:54:3.869,3.8689999999999998,38767.0
2015:1:3,10:54:3.877,3.877,38770.0
2015:1:3,10:54:3.889,3.8890000000000002,38738.0
2015:1:3,10:54:3.897,3.897,38660.0
2015:1:3,10:54:3.91,3.91,38553.0
2015:1:3,10:54:3.918,3.918,38416.0
2015:1:3,10:54:3.93,3.9299999999999997,38436.0
2015:1:3,10:54:3.942,3.942,38588.0
2015:1:3,10:54:3.951,3.951,38730.0
2015:1:3,10:54:3.963,3.963,38926.0
2015:1:3,10:54:3.971,3.971,39117.0
2015:1:3,10:54:3.983,3.983,39151.0
2015:1:3,10:54:3.992,3.992,38977.0
2015:1:3,10:54:4.004,4.004,38773.0
2015:1:3,10:54:4.016,4.016,38675.0
2015:1:3,10:54:4.024,4.024,38680.0
2015:1:3,10:54:4.037,4.037,38733.0
2015:1:3,10:54:4.057,4.057,38766.0
2015:1:3,10:54:4.065,4.065,38752.0
2015:1:3,10:54:4.072,4.072,38688.0
2015:1:3,10:54:4.078,4.078,38660.0
2015:1:3,10:54:4.09,4.09,38698.0
2015:1:3,10:54:4.098,4.098,38679.0
2015:1:3,10:54:4.11,4.11,38600.0
2015:1:3,10:54:4.12,4.12,38471.0
2015:1:3,10:54:4.131,4.131,38425.0
2015:1:3,10:54:4.14,4.14,38600.0
2015:1:3,10:54:4.151,4.151,38739.0
2015:1:3,10:54:4.164,4.164,38828.0
2015:1:3,10:54:4.172,4.172,38819.0
2015:1:3,10:54:4.184,4.184,38785.0
2015:1:3,10:54:4.192,4.192,38825.0
2015:1:3,10:54:4.205,4.205,38933.0
2015:1:3,10:54:4.213,4.213,39074.0
2015:1:3,10:54:4.225,4.225,39209.0
2015:1:3,10:54:4.237,4.237,39308.0
2015:1:3,10:54:4.245,4.245,39369.0
2015:1:3,10:54:4.258,4.258,39406.0
2015:1:3,10:54:4.266,4.266,39438.0
2015:1:3,10:54:4.278,4.278,39491.0
2015:1:3,10:54:4.286,4.286,39537.0
2015:1:3,10:54:4.299,4.299,39571.0
2015:1:3,10:54:4.311,4.311,39633.0
2015:1:3,10:54:4.319,4.319,39698.0
2015:1:3,10:54:4.332,4.332,39740.0
2015:1:3,10:54:4.34,4.34,39742.0
2015:1:3,10:54:4.352,4.352,39730.0
2015:1:3,10:54:4.36,4.36,39673.0
2015:1:3,10:54:4.372,4.372,39634.0
2015:1:3,10:54:4.385,4.385,39619.0
2015:1:3,10:54:4.393,4.393,39591.0
2015:1:3,10:54:4.405,4.405,39564.0
2015:1:3,10:54:4.413,4.413,39585.0
2015:1:3,10:54:4.426,4.426,39604.0
2015:1:3,10:54:4.434,4.434,39628.0
2015:1:3,10:54:4.446,4.446,39684.0
2015:1:3,10:54:4.458,4.458,39734.0
2015:1:3,10:54:4.467,4.467,39812.0
2015:1:3,10:54:4.479,4.479,39875.0
2015:1:3,10:54:4.487,4.487,39907.0
2015:1:3,10:54:4.499,4.499,39915.0
2015:1:3,10:54:4.508,4.508,39956.0
2015:1:3,10:54:4.52,4.52,40006.0
2015:1:3,10:54:4.539,4.539,40034.0
2015:1:3,10:54:4.548,4.548,40043.0
2015:1:3,10:54:4.555,4.555,39998.0
2015:1:3,10:54:4.561,4.561,39839.0
2015:1:3,10:54:4.573,4.573,39456.0
2015:1:3,10:54:4.581,4.5809999999999995,38668.0
2015:1:3,10:54:4.594,4.594,37510.0
2015:1:3,10:54:4.606,4.606,36204.0
2015:1:3,10:54:4.614,4.614,35084.0
2015:1:3,10:54:4.626,4.626,35256.0
2015:1:3,10:54:4.635,4.635,36277.0
2015:1:3,10:54:4.647,4.647,36820.0
2015:1:3,10:54:4.655,4.655,37226.0
2015:1:3,10:54:4.667,4.667,37616.0
2015:1:3,10:54:4.68,4.68,38075.0
2015:1:3,10:54:4.688,4.688,38330.0
2015:1:3,10:54:4.7,4.7,38575.0
2015:1:3,10:54:4.708,4.708,38834.0
2015:1:3,10:54:4.721,4.721,38976.0
2015:1:3,10:54:4.729,4.729,39088.0
2015:1:3,10:54:4.741,4.741,39174.0
2015:1:3,10:54:4.753,4.753,39226.0
2015:1:3,10:54:4.762,4.7620000000000005,39203.0
2015:1:3,10:54:4.774,4.774,39107.0
2015:1:3,10:54:4.782,4.782,39090.0
2015:1:3,10:54:4.834,4.834,39119.0
2015:1:3,10:54:4.84,4.84,39171.0
2015:1:3,10:54:4.845,4.845,39172.0
2015:1:3,10:54:4.851,4.851,39156.0
2015:1:3,10:54:4.857,4.857,39179.0
2015:1:3,10:54:4.863,4.8629999999999995,39226.0
