AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2391,-0.1704,0.9237,-0.2755,0.7042,0.3649,-3.255,1.3037,-10.0712,-10.452275779018224,-14.281881707633284,-105.46974490714277
-0.2401,-0.1717,0.9251,-0.2755,0.7042,0.3649,-3.2113,1.505,-9.45,-10.514395188841672,-14.313713161460864,-105.46711161523528
-0.2331,-0.1703,0.9282,-0.2746,0.704,0.3645,-3.3775,1.435,-9.905,-10.396896492486082,-13.89575217930497,-105.55657633111068
-0.2395,-0.1664,0.9297,-0.2746,0.704,0.3645,-4.3575,1.6275,-10.2025,-10.148077156383989,-14.213083532521518,-105.3931640743016
-0.2411,-0.1665,0.9223,-0.2752,0.7056,0.3654,-4.0775,1.5662,-9.975,-10.233015898267833,-14.416446921047047,-105.33138461877026
-0.2384,-0.1702,0.9232,-0.2739,0.705,0.3642,-3.605,1.3387,-9.555,-10.445191912682436,-14.257140006706113,-105.37310987416384
-0.2406,-0.1673,0.9235,-0.2739,0.705,0.3642,-3.9288,1.5575,-10.0275,-10.268676224923988,-14.372747971703303,-105.29992651098571
-0.2414,-0.1684,0.9246,-0.2759,0.705,0.3635,-3.4913,1.2512,-9.7737,-10.322170418054379,-14.404032549429003,-105.44872266767466
-0.2392,-0.1723,0.9216,-0.2759,0.705,0.3635,-3.22,1.015,-10.0625,-10.5889983791015,-14.31673273657717,-105.5227010628473
-0.2423,-0.1702,0.9238,-0.276,0.705,0.3718,-3.8238,1.4088,-9.8525,-10.439404663687656,-14.456851731524228,-105.28111161305557
-0.2394,-0.1698,0.9234,-0.2766,0.7065,0.3653,-3.7013,1.3037,-9.4325,-10.41951723886081,-14.31191582046325,-105.48609811002162
-0.2366,-0.171,0.9234,-0.2766,0.7065,0.3653,-3.5175,1.3912,-10.1325,-10.491308812342515,-14.149137470907752,-105.55531374000456
-0.2419,-0.171,0.917,-0.2752,0.7069,0.364,-3.3075,1.4175,-10.255,-10.562889929413467,-14.519415491755922,-105.35134317320514
-0.2367,-0.1683,0.9256,-0.2752,0.7069,0.364,-3.7538,1.1987,-9.8437,-10.305993413159712,-14.141268100890219,-105.45927606967976
-0.2408,-0.1689,0.9216,-0.2771,0.7042,0.3632,-3.9375,0.91,-10.0625,-10.385063443684546,-14.400655776708923,-105.55614906601372
-0.2456,-0.1674,0.9236,-0.2765,0.7066,0.3643,-3.4738,0.9975,-9.625,-10.273441976612823,-14.650627469250528,-105.34769699483526
-0.2444,-0.1687,0.9266,-0.2765,0.7066,0.3643,-3.9288,1.2775,-9.4675,-10.318344152623975,-14.551980654836074,-105.39621013892598
-0.2416,-0.1681,0.923,-0.2742,0.7042,0.3647,-3.675,1.4875,-9.5812,-10.32177174874851,-14.446307388681245,-105.30841416862837
-0.2443,-0.1688,0.9217,-0.2742,0.7042,0.3647,-3.0363,1.3912,-10.1412,-10.378000583535155,-14.604787382547473,-105.25527220246977
