AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2866,-0.1748,0.9145,-0.2833,0.7612,0.4162,-2.73,1.085,-10.605,0,0,0
-0.2883,-0.1774,0.9113,-0.282,0.761,0.4136,-3.0975,1.4,-9.8,0,0,0
-0.2812,-0.1782,0.9191,-0.282,0.761,0.4136,-3.8675,1.2163,-9.66,0,0,0
-0.2811,-0.1768,0.9119,-0.283,0.7603,0.4126,-3.3775,1.6975,-10.0187,0,0,0
-0.2825,-0.177,0.911,-0.283,0.7603,0.4126,-3.2375,1.4875,-10.675,0,0,0
-0.2827,-0.1771,0.9146,-0.2821,0.7589,0.4114,-3.6575,1.2687,-10.4038,0,0,0
-0.2826,-0.1765,0.9173,-0.2821,0.7589,0.4114,-3.3863,1.0587,-10.1062,0,0,0
-0.286,-0.1779,0.9115,-0.2868,0.7602,0.4118,-3.3163,0.9363,-10.045,0,0,0
-0.2859,-0.1762,0.9139,-0.2842,0.7601,0.4106,-3.0275,1.1287,-10.0187,0,0,0
-0.2846,-0.1742,0.9113,-0.2842,0.7601,0.4106,-3.745,1.5137,-10.29,0,0,0
-0.2854,-0.1771,0.9141,-0.283,0.7602,0.412,-3.4475,1.365,-10.2812,0,0,0
-0.2852,-0.1765,0.9146,-0.283,0.7602,0.412,-3.3775,0.98,-10.1325,0,0,0
-0.2879,-0.1779,0.9144,-0.2846,0.7599,0.4179,-3.2375,0.9275,-10.0712,0,0,0
-0.285,-0.1763,0.9172,-0.2795,0.7609,0.4105,-3.0975,1.6975,-9.975,0,0,0
-0.2851,-0.1771,0.9149,-0.2795,0.7609,0.4105,-2.8438,1.3825,-9.59,0,0,0
-0.2859,-0.1759,0.92,-0.2832,0.7607,0.4121,-3.395,1.1375,-9.8612,0,0,0
-0.2826,-0.1737,0.9119,-0.2832,0.7607,0.4121,-3.4913,1.225,-9.2137,0,0,0
-0.2827,-0.1733,0.9132,-0.283,0.7594,0.4139,-2.9313,1.6275,-9.8875,0,0,0
-0.2824,-0.1771,0.9126,-0.2833,0.7598,0.4102,-3.9725,1.4787,-9.2662,0,0,0
-0.2851,-0.1777,0.9147,-0.2833,0.7598,0.4102,-3.045,1.1812,-9.9225,0,0,0
-0.2857,-0.1781,0.9159,-0.2829,0.7596,0.4119,-3.4738,1.6362,-9.8087,0,0,0
-0.2873,-0.1785,0.9133,-0.2829,0.7596,0.4119,-3.7888,1.0762,-9.275,0,0,0
-0.2833,-0.1765,0.9184,-0.283,0.7601,0.4106,-3.5788,1.33,-9.8,0,0,0
-0.2839,-0.1769,0.9129,-0.283,0.7601,0.4125,-3.57,0.8925,-9.7125,0,0,0
-0.2849,-0.1751,0.9142,-0.2842,0.7606,0.4125,-2.7213,1.1638,-10.0887,0,0,0
-0.2829,-0.1769,0.9139,-0.2835,0.7598,0.4119,-2.975,1.365,-10.7712,0,0,0
-0.2852,-0.1749,0.9138,-0.2835,0.7598,0.4119,-2.8263,1.2337,-10.6487,0,0,0
