AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2744,-0.1976,0.9138,-0.177,0.7326,0.337,-4.0425,1.1287,-9.835,-12.201732157375407,-16.347132713005834,-98.71491716818798
-0.2747,-0.1979,0.9103,-0.1798,0.7323,0.3394,-3.2462,0.8663,-10.1763,-12.26514520217266,-16.425390844901834,-98.8506104491071
-0.2736,-0.1967,0.9153,-0.1794,0.7343,0.3374,-2.9225,1.1025,-11.095,-12.128849701733982,-16.29801543276685,-98.85884876853808
-0.2724,-0.1969,0.912,-0.1794,0.7343,0.3374,-3.2025,1.0675,-10.9462,-12.182981882571017,-16.276751678720544,-98.87605848377753
-0.2743,-0.1975,0.9121,-0.1806,0.735,0.3374,-2.9663,0.9538,-10.115,-12.217739595639305,-16.373820113264003,-98.933339758164
-0.2744,-0.1988,0.9104,-0.1806,0.735,0.3374,-3.9813,1.4612,-9.94,-12.31782536307237,-16.406100753241127,-98.94989689704798
-0.2747,-0.1976,0.9126,-0.1778,0.7354,0.3298,-2.8087,0.735,-10.4125,-12.217565345088332,-16.39406881689148,-98.90294226141141
-0.2718,-0.196,0.9155,-0.1811,0.7341,0.3373,-2.73,1.3387,-10.675,-12.084388589578479,-16.19962081014065,-98.99517271748078
-0.2719,-0.1978,0.9137,-0.1811,0.7341,0.3373,-3.0888,1.19,-10.5962,-12.214729304662304,-16.215839134879843,-99.01872375424767
-0.2714,-0.1973,0.9172,-0.1802,0.7331,0.3398,-2.7913,1.61,-10.5262,-12.140147833242477,-16.138767624182925,-98.91474873448149
-0.2739,-0.1954,0.9121,-0.1802,0.7331,0.3398,-3.115,0.875,-10.7712,-12.091869099895057,-16.352073762037776,-98.84013928894802
-0.278,-0.1981,0.908,-0.1806,0.7343,0.3361,-3.5438,1.3387,-10.8762,-12.306955215568804,-16.63718300658713,-98.91478912893206
