Hour,Minute,Second,IR1,Blinks
19,42,26.513,38391.0,38391.0,0
19,42,26.529,40610.0,40610.0,0
19,42,26.544,39650.0,39650.0,0
19,42,26.56,39056.0,39056.0,0
19,42,26.576,40851.0,40851.0,0
19,42,26.591,44642.0,44642.0,0
19,42,26.607,46806.0,46806.0,0
19,42,26.622,38479.0,38479.0,0
19,42,26.638,19859.0,19859.0,0
19,42,26.654,15886.0,15886.0,0
19,42,26.669,13335.0,13335.0,0
19,42,26.685,13036.0,0,0
19,42,26.7,12947.0,0,0
19,42,26.747,12956.0,12956.0,0
19,42,26.763,13080.0,13080.0,0
19,42,26.778,13264.0,13264.0,0
19,42,26.794,14239.0,14239.0,0
19,42,26.81,16035.0,16035.0,0
19,42,26.825,20349.0,20349.0,0
19,42,26.841,33993.0,33993.0,0
19,42,26.856,27180.0,27180.0,0
19,42,26.872,18333.0,18333.0,0
19,42,26.888,16618.0,16618.0,0
19,42,26.903,15057.0,15057.0,0
19,42,26.919,14710.0,14710.0,0
19,42,26.934,14490.0,14490.0,0
19,42,26.95,14536.0,0,0
19,42,26.966,15253.0,0,0
19,42,26.997,15512.0,0,0
19,42,27.012,14573.0,0,0
19,42,27.028,13783.0,0,0
19,42,27.044,12700.0,0,0
19,42,27.059,12584.0,0,0
19,42,27.075,12492.0,0,0
19,42,27.09,12466.0,0,0
19,42,27.106,12514.0,0,0
19,42,27.122,12633.0,12633.0,0
19,42,27.137,12963.0,12963.0,0
19,42,27.153,14118.0,14118.0,0
19,42,27.168,15375.0,15375.0,0
19,42,27.184,18527.0,18527.0,0
19,42,27.2,18661.0,18661.0,0
19,42,27.215,16327.0,16327.0,0
19,42,27.231,15353.0,15353.0,0
19,42,27.246,14596.0,14596.0,0
19,42,27.262,14569.0,14569.0,0
19,42,27.278,14873.0,14873.0,0
19,42,27.293,15155.0,15155.0,0
19,42,27.309,15743.0,0,0
19,42,27.324,16356.0,0,0
19,42,27.371,16252.0,16252.0,0
19,42,27.387,14601.0,14601.0,0
19,42,27.402,13417.0,13417.0,0
19,42,27.418,12394.0,12394.0,0
19,42,27.434,12274.0,12274.0,0
19,42,27.449,12187.0,12187.0,0
19,42,27.465,12180.0,12180.0,0
19,42,27.48,12168.0,12168.0,0
19,42,27.496,12182.0,12182.0,0
19,42,27.512,12215.0,12215.0,0
19,42,27.527,12263.0,12263.0,0
19,42,27.543,12635.0,12635.0,0
19,42,27.558,13170.0,13170.0,0
19,42,27.574,15358.0,15358.0,0
19,42,27.59,16928.0,16928.0,0
19,42,27.605,19827.0,19827.0,0
19,42,27.621,19551.0,19551.0,0
19,42,27.636,17610.0,0,0
19,42,27.652,15560.0,0,0
19,42,27.668,14797.0,0,0
19,42,27.683,14151.0,0,0
19,42,27.699,14115.0,0,0
19,42,27.714,14494.0,0,0
19,42,27.73,14933.0,0,0
19,42,27.746,16333.0,0,0
19,42,27.761,17368.0,0,0
19,42,27.777,18070.0,18070.0,0
19,42,27.792,15928.0,15928.0,0
19,42,27.808,13328.0,13328.0,0
19,42,27.824,12976.0,12976.0,0
19,42,27.839,12762.0,12762.0,0
19,42,27.855,12664.0,12664.0,0
19,42,27.87,12623.0,12623.0,0
19,42,27.886,12560.0,12560.0,0
19,42,27.902,12591.0,12591.0,0
19,42,27.917,12579.0,12579.0,0
19,42,27.933,12613.0,12613.0,0
19,42,27.948,13091.0,13091.0,0
19,42,27.964,13659.0,13659.0,0
19,42,27.98,14743.0,14743.0,0
19,42,27.995,15493.0,15493.0,0
19,42,28.011,16018.0,16018.0,0
19,42,28.026,15426.0,0,0
19,42,28.042,14294.0,14294.0,0
19,42,28.058,13959.0,13959.0,0
19,42,28.073,13547.0,13547.0,0
19,42,28.089,13395.0,13395.0,0
19,42,28.104,13378.0,13378.0,0
19,42,28.12,13470.0,13470.0,0
19,42,28.136,13454.0,13454.0,0
19,42,28.151,12957.0,0,0
19,42,28.167,12588.0,0,0
19,42,28.182,12234.0,0,0
19,42,28.198,12105.0,0,0
19,42,28.214,11962.0,0,0
19,42,28.229,11900.0,0,0
19,42,28.245,11847.0,0,0
19,42,28.26,11821.0,0,0
19,42,28.276,11800.0,0,0
19,42,28.292,11792.0,0,0
19,42,28.307,11798.0,0,0
19,42,28.323,11777.0,0,0
19,42,28.338,11773.0,0,0
19,42,28.354,11759.0,0,0
19,42,28.37,11751.0,0,0
19,42,28.385,11752.0,0,0
19,42,28.401,11742.0,0,0
19,42,28.416,11748.0,0,0
19,42,28.432,11733.0,0,0
19,42,28.448,11733.0,0,0
19,42,28.463,11724.0,0,0
19,42,28.479,11721.0,0,0
19,42,28.494,11723.0,0,0
19,42,28.51,11720.0,0,0
19,42,28.526,11726.0,0,0
19,42,28.541,11716.0,0,0
19,42,28.557,11729.0,0,0
19,42,28.572,11729.0,0,0
19,42,28.588,11721.0,0,0
19,42,28.604,11741.0,0,0
19,42,28.619,11735.0,0,0
19,42,28.635,11755.0,0,0
19,42,28.65,11754.0,0,0
19,42,28.666,11759.0,0,0
19,42,28.682,11765.0,0,0
19,42,28.697,11761.0,0,0
19,42,28.713,11775.0,0,0
19,42,28.728,11778.0,0,0
19,42,28.744,11783.0,0,0
19,42,28.76,11761.0,0,0
19,42,28.775,11767.0,0,0
19,42,28.791,11764.0,0,0
19,42,28.806,11755.0,0,0
19,42,28.822,11758.0,0,0
19,42,28.838,11751.0,0,0
19,42,28.853,11734.0,0,0
19,42,28.869,11736.0,0,0
19,42,28.884,11736.0,0,0
19,42,28.9,11723.0,0,0
19,42,28.916,11729.0,0,0
19,42,28.932,11727.0,0,0
19,42,28.948,11735.0,0,0
19,42,28.963,11708.0,0,0
19,42,28.979,11730.0,0,0
19,42,28.995,11729.0,0,0
19,42,29.01,11720.0,0,0
19,42,29.026,11730.0,0,0
19,42,29.041,11725.0,0,0
19,42,29.057,11745.0,0,0
19,42,29.073,11747.0,0,0
19,42,29.088,11761.0,0,0
19,42,29.104,11748.0,0,0
19,42,29.119,11768.0,0,0
19,42,29.135,11763.0,0,0
19,42,29.151,11752.0,0,0
19,42,29.166,11767.0,0,0
19,42,29.182,11772.0,0,0
19,42,29.197,11768.0,0,0
19,42,29.213,11790.0,0,0
19,42,29.229,11777.0,0,0
19,42,29.244,11762.0,0,0
19,42,29.26,11773.0,0,0
19,42,29.275,11775.0,0,0
19,42,29.291,11754.0,0,0
19,42,29.307,11760.0,0,0
19,42,29.322,11749.0,0,0
19,42,29.338,11736.0,0,0
19,42,29.353,11748.0,0,0
19,42,29.369,11744.0,0,0
19,42,29.385,11742.0,0,0
19,42,29.4,11744.0,0,0
19,42,29.416,11729.0,0,0
19,42,29.431,11749.0,0,0
19,42,29.447,11736.0,0,0
19,42,29.463,11739.0,0,0
19,42,29.478,11737.0,0,0
19,42,29.494,11737.0,0,0
19,42,29.509,11769.0,0,0
19,42,29.525,11754.0,0,0
19,42,29.541,11771.0,0,0
19,42,29.556,11761.0,0,0
19,42,29.572,11771.0,0,0
19,42,29.587,11782.0,0,0
19,42,29.603,11835.0,0,0
19,42,29.619,11772.0,0,0
19,42,29.634,11786.0,0,0
19,42,29.65,11773.0,0,0
19,42,29.665,11779.0,0,0
19,42,29.681,11763.0,0,0
19,42,29.697,11770.0,0,0
19,42,29.712,11764.0,0,0
19,42,29.728,11760.0,0,0
19,42,29.743,11733.0,0,0
19,42,29.759,11752.0,0,0
19,42,29.775,11748.0,0,0
19,42,29.79,11744.0,0,0
19,42,29.806,11744.0,0,0
19,42,29.821,11720.0,0,0
19,42,29.837,11731.0,0,0
19,42,29.853,11736.0,0,0
19,42,29.868,11734.0,0,0
19,42,29.884,11741.0,0,0
19,42,29.899,11745.0,0,0
19,42,29.915,11749.0,0,0
19,42,29.931,11767.0,0,0
19,42,29.946,11756.0,0,0
19,42,29.962,11758.0,0,0
19,42,29.977,11755.0,0,0
19,42,29.993,11765.0,0,0
19,42,30.009,11765.0,0,0
19,42,30.024,11785.0,0,0
19,42,30.04,11773.0,0,0
19,42,30.055,11768.0,0,0
19,42,30.071,11779.0,0,0
19,42,30.087,11770.0,0,0
19,42,30.102,11778.0,0,0
19,42,30.118,11771.0,0,0
19,42,30.133,11763.0,0,0
19,42,30.149,11761.0,0,0
19,42,30.165,11731.0,0,0
19,42,30.18,11742.0,0,0
19,42,30.196,11743.0,0,0
19,42,30.211,11741.0,0,0
19,42,30.227,11738.0,0,0
19,42,30.243,11745.0,0,0
19,42,30.258,11741.0,0,0
19,42,30.274,11738.0,0,0
19,42,30.289,11745.0,0,0
19,42,30.305,11749.0,0,0
19,42,30.321,11749.0,0,0
19,42,30.336,11761.0,0,0
19,42,30.352,11743.0,0,0
19,42,30.367,11757.0,0,0
19,42,30.383,11755.0,0,0
19,42,30.399,11757.0,0,0
